T,N_2,N_4,N_8,N_16
0.14285714285714285,18.74078812627926,8.504858216602345,2.6393826422564657,0.7591799298337443
0.14084507042253522,19.192226609317682,8.809627349230384,2.744614811820657,0.7875912244308252
0.1388888888888889,19.642396464488183,9.119523191767112,2.8525340893083033,0.816829250924081
0.136986301369863,20.091102191787108,9.434471249389153,2.9631569906105106,0.84690151452881
0.13513513513513511,20.53815785305633,9.75439493667065,3.0764995890067475,0.8778156362565693
0.13333333333333333,20.983387271689725,10.079215606087395,3.192577320461976,0.9095792271369906
0.13157894736842105,21.426623548883033,10.408852806200926,3.3114051824533957,0.9422000518730647
0.12987012987012989,21.867708956818486,10.743224255570807,3.4329976101279143,0.9756858356844659
0.12820512820512822,22.306494783715348,11.082246008334733,3.5573684587744703,1.0100444018613544
0.12658227848101264,22.742840974724476,11.425832641328558,3.6845311234801654,1.0452836334823372
0.125,23.1766160280166,11.773897204349183,3.8144984117534273,1.0814114480376342
0.12345679012345677,23.607696639565006,12.126351497848757,3.947282567505042,1.1184357780410252
0.12195121951219513,24.035967493898834,12.483106059384186,4.082895355362856,1.15636466034019
0.12048192771084336,24.46132105246034,12.844070313508542,4.221347917658528,1.1952060828791293
0.11904761904761901,24.883657244776128,13.209152694220409,4.362650946997676,1.2349681359359506
0.11764705882352941,25.302883199826425,13.578260681957861,4.506814432883198,1.2756589454928273
0.11627906976744184,25.71891308103637,13.951301049890908,4.653848019075838,1.3172865518606465
0.1149425287356322,26.131667672664765,14.328179694084774,4.80376055740774,1.3598591345446516
0.11363636363636363,26.541074315366036,14.708802045778349,4.956560570951345,1.403384866547557
0.11235955056179772,26.947066473263984,15.093072945459841,5.112255818244096,1.4478718639344104
0.1111111111111111,27.349583639818277,15.480896743024969,5.270853720728356,1.493328252506404
0.10989010989010987,27.748570944334247,15.872177547966906,5.432360814776087,1.5397622568433167
0.10869565217391305,28.143979037248144,16.266819169574568,5.596783474257597,1.5871818988561723
0.1075268817204301,28.535763721271415,16.66472510551812,5.764127165034078,1.6355954020014238
0.10638297872340423,28.9238859324835,17.065798983367735,5.93439683656756,1.685010742089792
0.10526315789473684,29.308311263082608,17.469944196530424,6.107597108904803,1.7354359611836176
0.10416666666666666,29.689009825992514,17.877064315533335,6.283731657478051,1.7868790930146417
0.10309278350515463,30.065956169328274,18.287062974060856,6.462803856481664,1.8393479772091288
0.1020408163265306,30.43912890669053,18.699844004590627,6.644816278170881,1.8928505706668837
0.101010101010101,30.808510495084725,19.115311457522914,6.829771156176634,1.947394478060716
0.1,31.174087262059814,19.533369760488384,7.017669838834712,2.002987541162239
0.099009900990099,31.535848882727823,19.953923781326544,7.208513267665003,2.0596372937808685
0.0980392156862745,31.893788563102476,20.376878646385734,7.402301770685926,2.11735108394653
0.0970873786407767,32.24790242327364,20.80214003534063,7.599034971656406,2.176136503288951
0.09615384615384613,32.5981897801844,21.229614404017877,7.798712059401035,2.2360005963708476
0.09523809523809523,32.94465269056661,21.659208482421594,8.001331381433108,2.296950505571007
0.09433962264150943,33.287295789981115,22.090829804543574,8.20689099919528,2.358993444653148
0.09345794392523364,33.62612637339341,22.524386591246216,8.415388129255001,2.4221359597630983
0.09259259259259259,33.96115389723844,22.959787978853154,8.626819526499402,2.486384877522915
0.09174311926605502,34.29239019926075,23.396943482461797,8.841181192211764,2.5517469661757213
0.09090909090909091,34.619849114949076,23.835763786427638,9.058468887425475,2.6182284455872016
0.09009009009009007,34.94354633846443,24.276160472083088,9.27867738834134,2.6858358402104203
