tau_mid,Energy_T_N2,Energy_H_N2,Energy_T_N0,Energy_H_N0
9.57499999999999,2907.927508219678,2992.3370761199785,2990.5335655114795,2990.5335655114795
9.624999999999991,2907.021721349899,2992.2839545474712,2990.451903442925,2990.451903442925
9.674999999999992,2906.1136367169966,2992.2324636736125,2990.3715079043177,2990.3715079043177
9.72499999999999,2905.2032380174446,2992.1825803775555,2990.292352925601,2990.292352925601
9.77499999999999,2904.2905098385495,2992.1342824149206,2990.2144131358327,2990.2144131358327
9.82499999999999,2903.375437302259,2992.0875480519653,2990.137663865681,2990.137663865681
9.874999999999991,2902.4580063213148,2992.0423563300765,2990.0620809786747,2990.0620809786747
9.92499999999999,2901.538203211625,2991.9986866672075,2989.9876410994257,2989.9876410994257
9.974999999999989,2900.616015149812,2991.9565193300323,2989.914321248135,2989.914321248135
10.02499999999999,2899.6914298368074,2991.9158350880857,2989.8420992026904,2989.8420992026904
10.07499999999999,2898.764435438509,2991.8766151531613,2989.7709531774126,2989.7709531774126
10.12499999999999,2897.8350208174816,2991.838841418933,2989.7008618743184,2989.7008618743184
10.174999999999988,2896.903175296666,2991.802496217953,2989.631804691555,2989.631804691555
10.224999999999989,2895.9688888084156,2991.767562476089,2989.563761356732,2989.563761356732
10.27499999999999,2895.0321518200194,2991.734023636386,2989.4967122052026,2989.4967122052026
10.324999999999989,2894.0929551160357,2991.7018634348356,2989.4306379530954,2989.4306379530954
10.374999999999988,2893.151290133591,2991.671066247317,2989.36551990341,2989.36551990341
10.424999999999988,2892.2071487703197,2991.6416168919036,2989.301339662008,2989.301339662008
10.474999999999989,2891.2605233971963,2991.6135006427503,2989.238079378634,2989.238079378634
10.524999999999988,2890.3114067083793,2991.586703075378,2989.1757215618527,2989.1757215618527
10.574999999999987,2889.3597919948133,2991.561210350234,2989.114249252549,2989.114249252549
10.624999999999988,2888.405672873001,2991.5370089327625,2989.053645635141,2989.053645635141
10.674999999999988,2887.4490433129613,2991.514085622786,2988.993894637153,2988.993894637153
10.724999999999987,2886.489897963052,2991.492427891483,2988.934980176051,2988.934980176051
