tau_mid,N_2,N_4,N_8,N_16,N_256
10.350000000000001,1766.5967564599123,2996.6962134919595,4114.2673305555945,4662.223844997352,4899.018149979529
10.450000000000001,1751.855633406085,2978.6445520282723,4102.532014357857,4657.94119756436,4898.996929256828
10.55,1737.340962299495,2960.7464455993613,4090.785328298225,4653.629504945711,4898.975689585786
10.65,1723.048021942377,2943.0013742891606,4079.028694157605,4649.289037967101,4898.954415630433
10.750000000000002,1708.9722049201373,2925.408763124142,4067.2635088826064,4644.9200693075545,4898.933093310334
10.850000000000001,1695.1090150576783,2907.967985548894,4055.4911444033496,4640.522873234586,4898.911709684762
10.950000000000001,1681.4540647086687,2890.6783665932016,4043.712947941385,4636.09772561118,4898.890253366553
11.05,1668.0030723434174,2873.5391859716037,4031.930241714581,4631.644903491251,4898.868713675183
11.15,1654.751859815442,2856.549681170727,4020.1443230727455,4627.16468530416,4898.847081008134
11.250000000000002,1641.6963500378188,2839.709050138481,4008.35646464373,4622.657350485097,4898.825346591184
11.350000000000001,1628.8325643842109,2823.0164540174883,3996.5679141145665,4618.123179467511,4898.80350252206
11.450000000000001,1616.1566203419352,2806.471019809833,3984.779894766398,4613.562453566701,4898.781541691278
11.55,1603.6647290276596,2790.0718427461106,3972.9936050542165,4608.975454843603,4898.759457411361
11.65,1591.353192947572,2773.8179886399303,3961.2102191284066,4604.362465986051,4898.737243914511
11.750000000000002,1579.2184036166873,2757.708496223786,3949.4308867357904,4599.7237703966675,4898.7148956314195
11.850000000000001,1567.2568393108668,2741.7423791327747,3937.6567334710853,4595.059651691117,4898.692407904891
11.950000000000001,1555.465062893927,2725.9186281030998,3925.888860829873,4590.37039421848,4898.669776216266
12.05,1543.8397195830476,2710.2362126711523,3914.128346548532,4585.6562823208515,4898.646996532334
12.15,1532.377534948173,2694.6940833260305,3902.376244525658,4580.917600796674,4898.624065240147
12.250000000000002,1521.0753126302734,2679.2911729658954,3890.6335852952907,4576.154634486302,4898.600979139446
12.350000000000001,1509.9299325590255,2664.026398723363,3878.901376024587,4571.367668359308,4898.577735090512
12.450000000000001,1498.9383488049498,2648.8986634468893,3867.1806008095155,4566.556987478398,4898.554330518236
12.55,1488.0975877301535,2633.9068573649274,3855.4722208570456,4561.722876743297,4898.530763025628
12.65,1477.4047460389556,2619.0498592617223,3843.77717470692,4556.865621114266,4898.507030212204
12.750000000000002,1466.8569890153594,2604.3265380657976,3832.0963785628555,4551.985505241319,4898.4831302496605
12.850000000000001,1456.4515486592427,2589.7357539332006,3820.430726419436,4547.0828136842465,4898.459061308531
12.950000000000001,1446.1857220012462,2575.276359622949,3808.7810902675847,4542.157830714132,4898.434821641422
13.05,1436.0568693326786,2560.9472015383653,3797.148320591077,4537.210840261541,4898.410409830976
13.15,1426.0624126158655,2546.747120806249,3785.5332462850492,4532.242125918856,4898.385824585566
13.250000000000002,1416.199833804858,2532.674954403774,3773.9366752502974,4527.251970896032,4898.3610646484885
13.350000000000001,1406.4666732912883,2518.7295360310236,3762.3593943787273,4522.240657924558,4898.336128820665
13.450000000000001,1396.8605284352088,2504.9096970492974,3750.8021700230893,4517.208469230682,4898.311016269727
13.55,1387.3790519620525,2491.2142673821654,3739.2657481739298,4512.155686542392,4898.285725995665
13.65,1378.0199505650671,2477.642076293705,3727.750854815822,4507.0825910172425,4898.26025727205
13.750000000000002,1368.7809835508233,2464.1919531929307,3716.258196075214,4501.989463121863,4898.23460926651
13.850000000000001,1359.6599613147555,2450.8627283026,3704.788458624389,4496.876582775731,4898.2087813213
13.950000000000001,1350.6547441758448,2437.653233355377,3693.3423098910134,4491.744229153264,4898.182772928849
14.05,1341.7632409743965,2424.5623023522785,3681.9203984783962,4486.592680682661,4898.156583458185
14.15,1332.983407835709,2411.5887719468446,3670.523354206234,4481.422215101775,4898.130212491378
14.250000000000002,1324.313246855745,2398.7314822134795,3659.1517886478687,4476.233109274181,4898.103659460321
14.350000000000001,1315.7508050900651,2385.989277010667,3647.806295309565,4471.025639317231,4898.076924118213
14.450000000000001,1307.2941732348409,2373.361004643957,3636.4874498854624,4465.800080461195,4898.050006078556
14.55,1298.941484518582,2360.845518191927,3625.1958106044913,4460.5567070201505,4898.0229048698675
14.65,1290.6909136468312,2348.441675994545,3613.9319184655324,4455.295792493271,4897.995620354777
14.750000000000002,1282.540675724158,2336.1483420449076,3602.6962976774666,4450.017609279603,4897.968152218964
14.850000000000001,1274.489025194198,2323.964386412408,3591.489455731353,4444.722428966779,4897.94050023891
14.950000000000001,1266.5342547936598,2311.8886854941957,3580.311883777613,4439.41052203998,4897.912664083997
