n,mu_Thermo,mu_Ham,mu_Ham_Exact,n_TF,mu_TF
181,0.7622469795169309,237.18126143848713,19.0,181,19.026288879648515
182,0.7622469883644953,237.18126419149849,19.0,182,19.078775341510703
183,0.762246998376213,237.1812673067543,19.0,183,19.131117806647804
184,0.7622470105998218,237.1812711102575,19.0,184,19.1833174537627
185,0.7622470272472128,237.18127629027367,19.0,185,19.235375445564785
186,0.7622470540227368,237.18128462176173,19.0,186,19.28729292907215
187,0.7622470980277285,237.18129831438273,19.0,187,19.339071035906475
188,0.762247187551111,237.1813261705356,19.0,188,19.390710882580777
189,0.7622474033851177,237.18139332958526,19.0,189,19.442213570780375
190,0.7622482716105878,237.18166348718296,19.0,190,19.493580187637072
191,0.8023639479652047,249.66408319749098,20.0,191,19.544811805996925
192,0.8023648116504773,249.664351942356,20.0,192,19.595909484681663
193,0.8023650313261896,249.66442029679456,20.0,193,19.64687426874404
194,0.8023651195690036,249.66444775448326,20.0,194,19.6977071897172
195,0.8023651640396565,249.66446159200132,20.0,195,19.748409265858268
196,0.8023651890689507,249.66446938013542,20.0,196,19.798981502386347
197,0.8023652046686038,249.66447423413047,20.0,197,19.849424891715042
198,0.8023652182891965,249.66447847232484,20.0,198,19.899740413679687
199,0.8023652283009142,249.66448158757703,20.0,199,19.949929035759414
200,0.8023652373813093,249.6644844130351,20.0,200,19.999991713294204
201,0.8023652459960431,249.66448709360702,20.0,201,20.049929389697027
202,0.8023652548436075,249.66448984661838,20.0,202,20.09974299666134
203,0.802365263691172,249.66449259962974,20.0,203,20.149433454363837
204,0.8023652778938413,249.66449701894453,20.0,204,20.199001671662803
205,0.8023652960546315,249.66450266986794,20.0,205,20.24844854629205
206,0.8023653249256313,249.66451165338367,20.0,206,20.297774965050646
207,0.8023653738200665,249.66452686741104,20.0,207,20.346981803988438
208,0.8023654709104449,249.6645570781111,20.0,208,20.396069928587632
209,0.8023657104931772,249.66463162683067,20.0,209,20.445040193940358
210,0.8023666676599532,249.66492945946084,20.0,210,20.49389344492248
211,0.8424820729997009,262.1472648406125,21.0,211,20.54263051636369
212,0.8424830324947834,262.147563397717,21.0,212,20.591252233213908
213,0.8424832704477012,262.14763743930234,21.0,213,20.639759410706237
214,0.8424833682365716,262.1476678673498,21.0,214,20.68815285451644
215,0.8424834171310067,262.1476830813772,21.0,215,20.736433360919055
216,0.8424834415782243,262.1476906883836,21.0,216,20.784601716940276
217,0.8424834636971354,262.1476975709229,21.0,217,20.832658701181376
218,0.8424834767356515,262.1477016279896,21.0,218,20.8806050805966
219,0.8424834862817079,262.14770459835563,20.999999999068677,219,20.928441617374112
220,0.842483495362103,262.1477074238064,21.000000000931323,220,20.976169062339213
221,0.8424835011828691,262.14770923501055,21.0,221,21.023788158460807
222,0.8424835111945868,262.14771235025546,21.0,222,21.071299640312578
223,0.8424835214391351,262.14771553796163,21.0,223,21.118704234205214
224,0.8424835291225463,262.14771792873216,21.0,224,21.166002658315946
225,0.8424835484474897,262.1477239418964,21.0,225,21.21319562281548
226,0.8424835638143122,262.14772872344474,21.0,226,21.260283829992446
227,0.8424835940822959,262.147738141648,21.0,227,21.30726797437528
228,0.8424836529884487,262.14775647092756,21.0,228,21.354148742851795
229,0.8424837531056255,262.1477876234567,21.0,229,21.400926814786303
230,0.8424840229563415,262.14787159037223,21.0,230,21.4476028621345
231,0.8424850646406412,262.14819572153647,21.0,231,21.494177549556078
232,0.88260019547306,274.630445686802,22.0,232,21.540651534525157
233,0.8826012518256903,274.6307743821744,22.0,233,21.587025467438576
234,0.8826015056110919,274.63085335019423,22.0,234,21.63329999172208
235,0.8826016189996153,274.630888632244,22.0,235,21.679475743934457
236,0.8826016667298973,274.63090348403057,22.0,236,21.72555335386979
237,0.8826016965322196,274.6309127573404,22.0,237,21.771533444657575
238,0.8826017228420824,274.63092094393505,22.0,238,21.81741663286109
239,0.8826017326209694,274.6309239867405,22.0,239,21.863203528573848
240,0.8826017456594855,274.6309280438145,22.0,240,21.90889473551426
241,0.8826017528772354,274.6309302896916,22.0,241,21.954490851118436
242,0.8826017582323402,274.63093195598776,22.0,242,21.999992466631483
243,0.8826017680112273,274.63093499879324,22.0,243,22.045400167196917
244,0.8826017775572836,274.630937969152,22.0,244,22.090714531944098
245,0.882601787801832,274.6309411568509,22.0,245,22.135936134074985
246,0.8826017992105335,274.6309447067906,22.0,246,22.181065540948367
247,0.882601811317727,274.63094847407046,22.0,247,22.226103314162998
248,0.8826018332038075,274.63095528416306,22.0,248,22.271050009639143
249,0.8826018669642508,274.63096578908153,22.0,249,22.315906177698636
250,0.8826019286643714,274.6309849877289,22.0,250,22.360672363143475
251,0.8826020404230803,274.63101976263715,22.0,251,22.40534910533314
252,0.8826023328583688,274.631110757,22.0,252,22.449936938259928
