n_TF,cp_pct_error,cv_pct_error
106,-2.931944179949243,25932.199311689543
107,-2.475150031471881,-31485.64706205528
108,-2.02048564117119,-39514.96197968839
109,-1.5679212942868501,52696.027049349126
110,-1.117428147119514,159012.98139131936
111,-0.6689781176496182,319569.18812249356
112,-0.22254362733500754,-160652.96340279462
113,0.2219022271326963,-40417.03320460031
114,0.6643857851625693,161880.14466596913
115,1.1049329039445561,162589.04041160343
116,1.5435687258105446,-81797.43030002498
117,1.980317913266388,-82148.82247415451
118,2.415204602947217,-55032.47742062516
119,2.848252293469866,23542.037225374777
120,3.2794844669148033,-55496.05570812996
121,-2.772884284299555,-83539.5941614872
122,-2.371945531344511,-83883.67993987676
123,-1.9726464763174303,-33750.5433543799
124,-1.5749675745651353,21016.91165715428
125,-1.1788887549955014,56438.37428976752
126,-0.7843911515389811,-24427.46265076135
127,-0.39145607956335426,-34293.334502725476
128,-6.48613286248222e-05,-85919.22820272984
129,0.3898004023267934,42976.905291953124
130,0.7781574200803648,19119.355252725407
131,1.1650237962398493,-34827.64290390342
132,1.5504162019790055,-14624.97487941939
133,1.9343514999258309,-43839.6720500696
134,2.3168463008939324,175515.2024698373
135,2.697916210938932,8713.46355679551
136,3.0775778062391805,-59073.64058188948
137,-2.6297921113275504,-11938.012060347715
138,-2.2750722956856637,-29802.84580030932
139,-1.9216349727442628,-59720.54307460045
140,-1.5694671406370937,11118.991823183458
141,-1.218554499764813,19915.979881516127
142,-0.8688840529717329,-16534.682180437405
143,-0.5204429332321912,-15218.078939555184
144,-0.17321787643851058,-60783.39090801846
145,0.17280358775192656,18168.12031551155
146,0.517633916033471,12120.670755389496
147,0.861285435888515,-92068.3847952545
148,1.2037699639398989,-10353.408314579625
149,1.5450992090113624,-23247.977908750767
150,1.8852852390163182,92802.10574066004
151,2.224339024803742,10866.031479275127
152,2.562272002782376,10902.283218319617
153,2.899095427778557,-9976.477388598625
154,-2.500448318418037,-13547.522990837371
155,-2.1844031836957742,-31579.264791124806
156,-1.869375979819751,17125.80819590831
157,-1.5553568338644295,13477.874640153503
158,-1.242336065282976,-95447.33587161193
159,-0.9303045290839049,-19229.718879730266
160,-0.6192525644290128,-19289.78140637973
161,-0.30917120595743125,96148.28264251856
162,-5.129674447038684e-05,19209.345989787416
163,0.3081161307204527,32181.41917228051
164,0.6153394662706225,-inf
165,0.9216276931028564,-16339.431192158983
166,1.2269891185053827,-32677.135251299656
167,1.5314321037552932,-inf
168,1.8349652012789515,49059.19539273529
169,2.1375960257576003,24552.64326599336
170,2.4393328080980208,-24825.473035483115
171,2.740183398836076,24698.088916534736
172,-2.38301032552802,-19996.39421627497
173,-2.09965092373101,-20054.149168455246
174,-1.8171094476407454,24914.671784354527
175,-1.5353785932403154,-16824.300369904555
176,-1.2544518073310493,9963.209812906724
177,-0.9743215959495548,100817.58188246585
178,-0.6949816981078722,-16967.043374899746
179,-0.41642548917027006,-101586.14005383801
180,-0.13864619277058782,-14638.461151518948
181,0.13836231448588643,25412.882690910617
182,0.4146068751413603,9203.004970137166
183,0.6900937064959732,-34304.602082843136
184,0.9648286917761236,-17248.965293653306
185,1.2388180731515162,-14839.002497688949
186,1.5120679120367444,-10445.148953364169
187,1.7845841142443744,6001.718469790428
188,2.056373105835359,34568.73228440601
189,2.3274398111815575,-34860.814685435194
190,2.597790376309934,34752.6538015664
191,-2.2759409870004115,-5092.035934458961
192,-2.0204528669276676,11578.536601525182
193,-1.7656287182094745,14954.313059491993
194,-1.5114639984099185,-26513.21153382799
195,-1.257953778064489,21084.959804916376
196,-1.0050925491693787,-13374.506933074885
197,-0.7528757408999549,-inf
198,-0.5012980616583245,21247.300060293335
199,-0.2503547653676943,-21501.139825779013
200,-4.147026727507207e-05,-107374.22240271626
201,0.2496468420470391,-inf
202,0.49871483021820734,-107909.26257915467
203,0.7471670718474971,13409.473674992008
204,0.995008393404022,-18156.943418882132
205,1.2422427434672176,-15615.268685287212
206,1.4888747668006803,-12196.828329586886
207,1.7349088196234244,109035.38773630012
208,1.980349395042416,5977.704653507387
209,2.2252009834153808,-inf
210,2.469467238747768,21884.676762484803
211,-2.177949830126553,-5346.895088865534
212,-1.9464181271983116,-9303.799265427813
213,-1.7154317203539806,5435.2885557480095
214,-1.4849863789067552,36888.4470135785
215,-1.2550792270337343,22144.861034033165
216,-1.0257060588587406,-18680.444625062253
217,-0.7968634114820068,-7549.362200584864
218,-0.5685475581865223,13899.700618882594
219,-0.3407543053168333,12372.687526185824
220,-0.11348055840928521,-inf
221,0.11327697613485979,-56482.80091254592
222,0.33952199472315703,-28355.110285323262
223,0.5652580224274701,56537.35355783431
224,0.7904886579385194,11252.840353219777
225,1.015217418616369,-8227.25244915585
226,1.2394467977110797,-14354.262897181801
227,1.4631806838924304,57043.056940263115
228,1.6864225738373588,-28734.39252809945
229,1.9091748004864588,4682.853144986429
230,2.131442507127085,-5851.941681665217
231,2.353226325399776,28722.16202403328
232,-2.0879476903936873,28784.480612532654
233,-1.877156836968668,-9748.888342889484
234,-1.6668187973109643,4734.7860230618
