n,E_f_T,E_B_T,sgn_T,E_f_H,E_B_H,sgn_H
27,71.46240629793965,15.155020930990302,1.2360228214354036e-49,80.26841293985055,16.92260440203253,9.51765154603685e-56
28,75.26208346888552,15.651159869634055,1.669589248489466e-52,84.54304975716465,17.480760708006752,5.6290595655545e-59
29,79.12583268847584,16.14729880827781,1.983994733307918e-55,88.88976762920376,18.038917013980978,2.8822595000682827e-62
30,83.05261821845988,16.643437745500478,2.0783502869326787e-58,93.30740135043581,18.59707331835648,1.2806592449380344e-65
31,87.04145075029143,17.139576685210045,1.9231078369164495e-61,97.7948379487463,19.155229625529742,4.948847742330057e-69
32,91.09138496086186,17.635715622787984,1.574766922277689e-64,102.35101393563804,19.713385930304923,1.6667417702572351e-72
33,95.20151765940452,18.131854560365923,1.1432499416574936e-67,106.97491322149853,20.271542235080105,4.902401047086819e-76
34,99.37098565586663,18.62799350007549,7.37102881173123e-71,111.66556471751841,20.829698542253368,1.2617378238700666e-79
35,103.59896308926861,19.124132437298158,4.227604741109891e-74,116.42203933009563,21.38785484662887,2.846794861898709e-83
36,107.88465826720991,19.62027137523137,2.1603675658295144e-77,121.2434464052796,21.94601115180373,5.6408377038398465e-87
37,112.2273104087412,20.11641031387512,9.851190814851081e-81,126.1289300645023,22.504167457777953,9.83274604846754e-91
38,116.62618708072611,20.612549249676704,4.014336784821638e-84,131.07766632048535,23.062323760554733,1.510308027249073e-94
39,121.08058216284687,21.108688190452085,1.4639161593452135e-87,136.0888607878712,23.620480068927037,2.0474142909522865e-98
40,125.5898148187384,21.604827128385296,4.783957255646629e-91,141.16174752574918,24.1786363741019,2.4533567334006425e-102
41,130.15322848417554,22.100966064897417,1.402805139307724e-94,146.29558789936596,24.736792677678036,2.6023878151129e-106
42,134.770190071265,22.597105004251713,3.69569629593478e-98,151.4896696848416,25.29494898445162,2.4471371437668048e-110
43,139.44008895663274,23.093243940763838,8.758191673341682e-102,156.7433059308803,25.85310528802776,2.0427548542609435e-114
44,144.16233551486357,23.589382880828676,1.8692354487064096e-105,162.05583330889,26.411261595600703,1.5157305693450309e-118
45,148.93635954962292,24.0855218173408,3.596998226942955e-109,167.42661034799426,26.969417899176843,1.0009969442576415e-122
46,153.76160883846524,24.581660755984554,6.247737157344804e-113,172.85501579794186,27.527574205151065,5.890987405778109e-127
47,158.6375478822788,25.07779969533885,9.80565741566892e-117,178.34044722223211,28.08573051192465,3.0932235326982993e-131
48,163.563656995791,25.573938633982603,1.3920457610211484e-120,183.88231997493335,28.64388681789887,1.4508088668823266e-135
49,168.53943170502816,26.070077572626356,1.789333611497363e-124,189.48006652282515,29.202043123873093,6.085240330742549e-140
50,173.56438219024994,26.566216510559567,2.0845657159789354e-128,195.13313581869966,29.760199429047955,2.2850333326646545e-144
