T,N_2,N_20,N_200
0.716504546175997,-0.18032241738438706,0.037147997685735935,0.037171805944699085
0.6914509529331963,-0.22126180102139015,0.03549175201396309,0.03552043566294585
0.668090234465845,-0.267237029566461,0.03394653281689332,0.033980839359342395
0.6462564165490725,-0.31867527190381767,0.03250127605540884,0.03254203447034267
0.6258045351024855,-0.37601169143382707,0.031146305927224706,0.031194432320522023
0.606607413664024,-0.4396883605814057,0.029873120259379014,0.02992962370063054
0.5885530163342088,-0.5101531250806899,0.028674214319661825,0.028740202862627393
0.5715422597623396,-0.5878584364364946,0.027542935255842112,0.027619622142099027
0.5554871939107353,-0.6732601685418602,0.026473361112597037,0.026562071162505058
0.5403094810635206,-0.7668164323459875,0.025460199723469752,0.025562375904189402
0.5259391175540502,-0.8689864007109237,0.024498703755612042,0.02461591393547065
0.5123133541933497,-0.9802291539680031,0.023584598975254164,0.023718542859568918
0.4993757802746567,-1.1010025552995226,0.0227140234014092,0.022866539644674867
0.4870755429505063,-1.2317621637227265,0.021883475447998145,0.022056548954720895
0.4753666792027078,-1.372960191281655,0.02108976955543735,0.021285538951760413
0.46420754190354474,-1.525044509944384,0.020329998067517036,0.020550763360959665
0.45356030486142007,-1.688457712672154,0.01960149836271535,0.01984972877074801
0.44339053445397014,-1.8636362321790605,0.01890182438511732,0.01918016634955795
0.43366681762663484,-2.0510095200716187,0.018228721936948942,0.018540007311108088
0.42436043778956556,-2.2509992881860383,0.017580107126679487,0.017927361539237158
0.4154450915688311,-2.464018813322447,0.01695404753178176,0.01734049892891431
0.4068966405274205,-2.6904723057889637,0.01634874567417218,0.016777833033376797
0.3986928929206778,-2.930754341715288,0.01576252447606666,0.016237906691192804
0.3908134113311154,-3.1852493584585604,0.015193814422649094,0.015719379374022048
0.3832393426717603,-3.454331212017546,0.01464114220968788,0.01522101598538605
0.37595326758116904,-3.7383627949596634,0.014103120644765568,0.014741676957209942
0.3689390666775636,-4.037695713033273,0.013578439678051396,0.014280309429471833
0.3621818015106191,-4.352670018279406,0.013065858374155769,0.01383593940590317
0.35566760836043987,-4.683613996327395,0.012564197742758616,0.013407664742621134
0.34938360329482004,-5.0308440052618755,0.012072334289410673,0.012994648869754129
0.34331779711656507,-5.39466436335445,0.01158919421395966,0.012596115162123826
0.33745901901944664,-5.775367282828387,0.01111374818271118,0.012211341860237406
0.3317968479299447,-6.173232846768041,0.010645006580990189,0.01183965749978451
0.32632155064696344,-6.588529026188258,0.01018201523333519,0.011480436791176319
0.32102402600700974,-7.0215117343706615,0.009723851479571466,0.011133096849582615
0.31589575440104767,-7.472424915487757,0.009269620635923785,0.010797093825387185
0.3109287520539993,-7.9415006646037565,0.008818452721981894,0.010471919783555389
0.3061155295508045,-8.428959376276401,0.00836949951255299,0.010157099910145235
0.30144905415589496,-8.935009918912561,0.00792193178556263,0.009852189930939564
0.2969227155273667,-9.459849832276454,0.007474936830999946,0.009556773750798444
0.29253029447432494,-10.003665545499814,0.007027716136346813,0.009270461313964726
0.28826593444686693,-10.56663261322127,0.006579483260093543,0.0089928866227701
0.2841241154838652,-11.148915967410092,0.006129461872704872,0.008723705917701307
0.28009963037485486,-11.750670182724388,0.005676883924126095,0.008462596024135828
0.27618756281956036,-12.372039753255681,0.00522098798340198,0.008209252797288666
0.2723832673924474,-13.013159378724724,0.00476101765806003,0.00796338972884197
0.2686823511406246,-13.674154258255813,0.004296220150146017,0.007724736633690896
0.26508065666182923,-14.355140390020566,0.003825844918791578,0.007493038445472782
0.2615742465254497,-15.056224875183307,0.003349142415686277,0.007268054108020053
0.25815938891385154,-15.777506224638206,0.0028653629210981042,0.007049555557395295
0.25483254437392644,-16.51907466722891,0.0023737554687382045,0.0068373267712111855
0.25159035357998744,-17.281012458227977,0.001873566804292637,0.006631162884544328
