tau_mid,Energy_Thermodynamic,Energy_Hamiltonian
7.1499999999999995,3653.973639367614,5113.3507282627
7.25,3631.3072655629367,5122.483735454749
7.35,3608.7522758560954,5131.8289932188745
7.45,3586.3128080253955,5141.385672302188
7.55,3563.9927370712394,5151.152862031423
7.6499999999999995,3541.7956844659057,5161.129574654624
7.75,3519.7250271681696,5171.314749389172
7.85,3497.783906455734,5181.707256264864
7.95,3475.9752369625494,5192.305900354155
8.05,3454.3017152807442,5203.109425471998
8.15,3432.7658286644146,5214.116518152398
8.25,3411.3698634819593,5225.3258113979045
8.350000000000001,3390.115913495538,5236.7358883290735
8.450000000000001,3369.0058879880235,5248.345285777592
8.55,3348.0415196949616,5260.152497769189
8.65,3327.224372489727,5272.155978822638
8.75,3306.555848987773,5284.35414733251
8.850000000000001,3286.0371977218892,5296.745388491988
8.950000000000001,3265.6695203325944,5309.3280574610435
9.05,3245.453778328374,5322.100482074778
9.15,3225.390799844172,5335.060965781309
9.25,3205.4812859511003,5348.207790085406
9.350000000000001,3185.7258169492707,5361.539217201207
9.450000000000001,3166.124858238036,5375.053492244305
9.55,3146.6787661775015,5388.7488456486235
9.65,3127.387793636881,5402.623495300556
9.750000000000002,3108.2520953100175,5416.675648516335
9.850000000000001,3089.2717328330036,5430.903503917302
9.950000000000001,3070.446679868037,5445.305253490188
10.05,3051.7768266500207,5459.8790839446965
10.15,3033.2619847741444,5474.62317873035
10.250000000000002,3014.9018913629698,5489.5357191858
10.350000000000001,2996.6962134919595,5504.614886380962
10.450000000000001,2978.6445520282723,5519.8588621288
10.55,2960.7464455993613,5535.265830453445
10.65,2943.0013742891606,5550.8339787837895
10.750000000000002,2925.408763124142,5566.561498972063
10.850000000000001,2907.967985548894,5582.446588508113
10.950000000000001,2890.6783665932016,5598.487451362276
11.05,2873.5391859716037,5614.682298902057
11.15,2856.549681170727,5631.029350993756
11.250000000000002,2839.709050138481,5647.526836530292
11.350000000000001,2823.0164540174883,5664.172994233643
11.450000000000001,2806.471019809833,5680.966073517791
11.55,2790.0718427461106,5697.904334948751
11.65,2773.8179886399303,5714.986050852296
11.750000000000002,2757.708496223786,5732.209506066729
11.850000000000001,2741.7423791327747,5749.572998146619
11.950000000000001,2725.9186281030998,5767.074838178826
12.05,2710.2362126711523,5784.713350721018
12.15,2694.6940833260305,5802.4868748556955
12.250000000000002,2679.2911729658954,5820.393763928355
12.350000000000001,2664.026398723363,5838.432386217771
12.450000000000001,2648.8986634468893,5856.6011250166275
12.55,2633.9068573649274,5874.898379256487
12.65,2619.0498592617223,5893.322563196949
12.750000000000002,2604.3265380657976,5911.872107162059
12.850000000000001,2589.7357539332006,5930.545457283474
12.950000000000001,2575.276359622949,5949.3410760266015
13.05,2560.9472015383653,5968.257442085142
13.15,2546.747120806249,5987.293050475146
13.250000000000002,2532.674954403774,6006.446412860904
13.350000000000001,2518.7295360310236,6025.71605740047
13.450000000000001,2504.9096970492974,6045.100528849772
13.55,2491.2142673821654,6064.598388687119
13.65,2477.642076293705,6084.208215045533
13.750000000000002,2464.1919531929307,6103.9286028065135
13.850000000000001,2450.8627283026,6123.758163457486
13.950000000000001,2437.653233355377,6143.695525105688
14.05,2424.5623023522785,6163.739332743651
14.15,2411.5887719468446,6183.888247658776
14.250000000000002,2398.7314822134795,6204.14094789297
14.350000000000001,2385.989277010667,6224.496127754645
14.450000000000001,2373.361004643957,6244.952498176535
14.55,2360.845518191927,6265.508786278072
14.65,2348.441675994545,6286.163735417507
14.750000000000002,2336.1483420449076,6306.916105061668
14.850000000000001,2323.964386412408,6327.764670807957
14.950000000000001,2311.8886854941957,6348.708224007216
