n,mu_Thermo,mu_Ham,mu_Ham_Exact,n_TF,mu_TF
75.0,0.9610009130847175,75.40238867890412,12.000000003026798,22.84884884884885,6.7599826846352125
76.0,0.9610009130847175,75.40238867890457,12.000000002444722,23.14814814814815,6.8041137920501065
77.0,0.9610009122116026,75.40238861039734,11.999999999534339,23.44744744744745,6.847960506148168
78.0,0.9610009129391983,75.40238866748678,11.999999993131496,23.746746746746748,6.891528255210427
79.0,1.0410843219142407,81.68592102219009,12.999999998719431,24.046046046046047,6.934822296999561
80.0,1.0410843224963173,81.68592106786127,13.000000003958121,24.345345345345347,6.977847726166061
81.0,1.0410843224963173,81.68592106786218,13.000000003958121,24.644644644644647,7.0206094812458755
82.0,1.0410843224963173,81.68592106786127,13.000000000465661,24.943943943943946,7.063112351276743
83.0,1.0410843227873556,81.68592109069687,12.999999995809048,25.243243243243246,7.105360982058314
84.0,1.041084322205279,81.68592104502568,12.999999999301508,25.542542542542545,7.147359882079194
85.0,1.0410843224963173,81.68592106786127,12.999999999301508,25.841841841841845,7.189113428132414
86.0,1.0410843219142407,81.685921022191,13.000000002793968,26.141141141141144,7.230625870638891
87.0,1.041084323078394,81.68592111353246,13.000000000465661,26.440440440440444,7.271901338697536
88.0,1.0410843219142407,81.68592102219009,13.000000000465661,26.739739739739743,7.312943844878727
89.0,1.041084323078394,81.68592111353246,13.000000001629815,27.039039039039043,7.3537572897769925
90.0,1.0410843207500875,81.68592093084862,12.999999993480742,27.33833833833834,7.394345466337561
91.0,1.0410843239515088,81.68592118203924,13.000000006286427,27.63763763763764,7.434712063970297
92.0,1.1211677300161682,87.96945330838753,13.999999992083758,27.936936936936938,7.474860672463673
93.0,1.1211677332175896,87.96945355957905,14.00000000372529,28.236236236236238,7.514794785710562
94.0,1.1211677308892831,87.9694533768934,14.000000006053597,28.535535535535537,7.554517805256751
95.0,1.121167732635513,87.96945351390787,13.999999993247911,28.834834834834837,7.59403304368238
96.0,1.1211677314713597,87.9694534225655,14.000000004889444,29.134134134134136,7.6333437278258645
97.0,1.1211677323444746,87.96945349107227,13.999999999068677,29.433433433433436,7.672453001859123
98.0,1.1211677320534363,87.96945346823577,13.999999994412065,29.732732732732735,7.711363930222438
99.0,1.1211677311803214,87.9694533997299,14.00000000372529,30.032032032032035,7.750079500426705
100.0,1.1211677320534363,87.96945346823668,14.00000000023283,30.331331331331334,7.788602625730296
101.0,1.121167731762398,87.96945344540109,13.999999995576218,30.630630630630634,7.826936147697351
102.0,1.121167732635513,87.96945351390787,14.000000013038516,30.929929929929934,7.865082838643853
103.0,1.1211677311803214,87.96945339972899,13.999999993247911,31.229229229229233,7.903045403977423
104.0,1.121167731762398,87.96945344540109,13.999999993247911,31.528528528528533,7.940826484436445
105.0,1.1211677314713597,87.9694534225655,14.000000009546056,31.827827827827832,7.978428658233768
106.0,1.2012511410284787,94.25298582293999,14.999999983701855,32.12712712712713,8.015854443109886
107.0,1.2012511407374404,94.25298580010531,15.000000016298145,32.42642642642643,8.053106298300243
108.0,1.201251142192632,94.25298591428236,15.000000001164153,32.725725725725724,8.090186626421028
109.0,1.201251141319517,94.25298584577558,14.999999990686774,33.02502502502503,8.127097775277507
110.0,1.2012511410284787,94.2529858229409,15.000000004656613,33.32432432432433,8.163842039598727
111.0,1.2012511410284787,94.25298582293999,14.999999998835847,33.62362362362363,8.200421662702281
112.0,1.2012511416105554,94.25298586861118,14.999999998835847,33.92292292292293,8.236838838092927
113.0,1.2012511410284787,94.2529858229409,15.000000004656613,34.22222222222223,8.273095710996861
114.0,1.2012511416105554,94.25298586861118,14.99999999301508,34.52152152152152,8.309194379836903
115.0,1.2012511404464021,94.25298577726971,15.000000002328306,34.82082082082082,8.345136897649539
116.0,1.2012511398643255,94.25298573159762,15.00000000698492,35.12012012012012,8.38092527344746
117.0,1.201251142192632,94.25298591428236,14.999999997671694,35.41941941941942,8.416561473529969
118.0,1.2012511427747086,94.25298595995355,14.999999997671694,35.71871871871872,8.452047422743654
119.0,1.2012511404464021,94.25298577726971,14.999999988358468,36.01801801801802,8.487385005695582
120.0,1.201251139282249,94.25298568592734,15.000000018626451,36.31731731731732,8.522576067921296
121.0,1.281334548839368,100.53651808630184,15.999999993946403,36.61661661661662,8.557622417009496
122.0,1.2813345523318276,100.53651836032805,16.000000005587935,36.91591591591592,8.592525823685492
123.0,1.2813345511676744,100.53651826898658,15.99999999627471,37.21521521521522,8.627288022855192
124.0,1.281334548839368,100.53651808630366,15.999999984633178,37.51451451451452,8.66191071461137
125.0,1.2813345500035211,100.5365181776433,16.00000001024455,37.813813813813816,8.696395565203888
126.0,1.2813345534959808,100.53651845167042,16.000000012572855,38.113113113113116,8.730744207975425
127.0,1.2813345511676744,100.53651826898749,15.999999998603016,38.412412412412415,8.764958244264202
128.0,1.2813345482572913,100.53651804063156,15.999999991618097,38.711711711711715,8.799039244275114
129.0,1.2813345494214445,100.53651813197212,15.999999986961484,39.011011011011014,8.832988747920616
130.0,1.2813345511676744,100.53651826898749,15.999999998603016,39.310310310310314,8.866808265632613
131.0,1.2813345540780574,100.5365184973416,16.00000002188608,39.60960960960961,8.900499279146617
132.0,1.2813345476752147,100.53651799495856,16.000000012572855,39.90890890890891,8.93406324225926
133.0,1.2813345494214445,100.53651813197393,15.99999998928979,40.20820820820821,8.967501581560306
134.0,1.2813345505855978,100.53651822331449,15.999999979976565,40.50750750750751,9.000815697140185
135.0,1.2813345558242872,100.53651863435516,15.999999979976565,40.80680680680681,9.034006963274036
136.0,1.2813345465110615,100.536517903618,16.000000038184226,41.10610610610611,9.067076729083219
